date,area,category,complaint_type,severity,status,department,notes
2026-06-07,Green Valley,Noise,Late-night party,high,Open,Environment Cell,Flagged by community volunteer.
2026-05-21,Riverside,Water Supply,Contaminated water,medium,Open,Water Board,Reported via city helpline.
2026-06-16,Riverside,Waste Collection,Overflowing bin,medium,Resolved,Sanitation Dept,Affects a school zone nearby.
2026-05-21,Midtown,Public Health,Mosquito breeding,medium,Resolved,Health Dept,Third complaint from the same street.
2026-05-11,Oak Hill,Public Health,Open garbage,high,In Progress,Health Dept,Photo evidence attached by citizen.
2026-07-03,Green Valley,Noise,Late-night party,medium,Resolved,Environment Cell,Flagged by community volunteer.
2026-06-16,Harbor District,Roads,Blocked drain,low,In Progress,Public Works,Affects a school zone nearby.
2026-06-24,Midtown,Public Health,Food safety,low,Open,Health Dept,Recurring issue during monsoon.
2026-07-02,North Gate,Sanitation,Stagnant water,medium,In Progress,Sanitation Dept,
2026-06-30,Midtown,Public Health,Food safety,low,Open,Health Dept,
2026-06-21,Lakeside,Public Health,Stray animals,low,Open,Health Dept,Affects a school zone nearby.
2026-06-20,Old Town,Noise,Late-night party,low,In Progress,Environment Cell,Affects a school zone nearby.
2026-07-03,Lakeside,Water Supply,Low pressure,critical,In Progress,Water Board,
2026-05-17,Riverside,Water Supply,Contaminated water,medium,In Progress,Water Board,Photo evidence attached by citizen.
2026-05-30,Midtown,Public Health,Stray animals,low,Resolved,Health Dept,Affects a school zone nearby.
2026-05-19,Midtown,Water Supply,Leak,medium,In Progress,Water Board,Recurring issue during monsoon.
2026-06-29,Riverside,Waste Collection,Overflowing bin,high,Resolved,Sanitation Dept,Reported via city helpline.
2026-07-01,Oak Hill,Roads,Damaged signage,medium,Open,Public Works,Affects a school zone nearby.
2026-06-22,Riverside,Water Supply,No supply,low,Open,Water Board,Resident reported repeatedly this month.
2026-06-13,Riverside,Public Health,Food safety,low,Open,Health Dept,
2026-05-14,Green Valley,Noise,Loud construction,medium,Resolved,Environment Cell,Recurring issue during monsoon.
2026-05-18,Old Town,Roads,Pothole,medium,Open,Public Works,Photo evidence attached by citizen.
2026-05-20,Lakeside,Waste Collection,Overflowing bin,low,Resolved,Sanitation Dept,Escalated after no response in 72 hours.
2026-06-15,North Gate,Roads,Damaged signage,medium,Open,Public Works,Flagged by community volunteer.
2026-06-09,Riverside,Waste Collection,Illegal dumping,medium,Open,Sanitation Dept,Affects a school zone nearby.
2026-07-02,Riverside,Waste Collection,Delayed collection,high,Open,Sanitation Dept,Escalated after no response in 72 hours.
2026-07-03,Green Valley,Noise,Loud construction,medium,In Progress,Environment Cell,Third complaint from the same street.
2026-06-30,Old Town,Sanitation,Foul smell,high,In Progress,Sanitation Dept,
2026-05-27,Riverside,Sanitation,Blocked sewer,medium,Resolved,Sanitation Dept,Resident reported repeatedly this month.
2026-06-03,Riverside,Public Health,Stray animals,high,Open,Health Dept,Recurring issue during monsoon.
2026-05-22,Harbor District,Public Health,Food safety,high,Resolved,Health Dept,Resident reported repeatedly this month.
2026-05-22,Riverside,Public Health,Open garbage,low,Escalated,Health Dept,
2026-06-01,Old Town,Roads,Blocked drain,medium,Open,Public Works,Escalated after no response in 72 hours.
2026-06-12,Oak Hill,Waste Collection,Missed pickup,medium,In Progress,Sanitation Dept,Flagged by community volunteer.
2026-05-20,Riverside,Noise,Loud construction,low,Open,Environment Cell,Affects a school zone nearby.
2026-06-17,Green Valley,Waste Collection,Illegal dumping,medium,Resolved,Sanitation Dept,Recurring issue during monsoon.
2026-06-29,Riverside,Waste Collection,Illegal dumping,medium,Open,Sanitation Dept,Flagged by community volunteer.
2026-05-30,Old Town,Waste Collection,Illegal dumping,low,In Progress,Sanitation Dept,Recurring issue during monsoon.
2026-06-18,Riverside,Waste Collection,Missed pickup,high,Open,Sanitation Dept,
2026-06-14,Riverside,Sanitation,Foul smell,medium,Resolved,Sanitation Dept,
2026-07-04,Lakeside,Public Health,Mosquito breeding,medium,In Progress,Health Dept,Reported via city helpline.
2026-06-20,Riverside,Noise,Traffic noise,low,Open,Environment Cell,Recurring issue during monsoon.
2026-06-03,Midtown,Waste Collection,Delayed collection,medium,Resolved,Sanitation Dept,
2026-06-23,Lakeside,Water Supply,Leak,medium,Open,Water Board,Escalated after no response in 72 hours.
2026-06-22,Riverside,Noise,Industrial noise,medium,In Progress,Environment Cell,Affects a school zone nearby.
2026-06-12,Old Town,Public Health,Open garbage,low,Open,Health Dept,Photo evidence attached by citizen.
2026-06-28,Riverside,Waste Collection,Overflowing bin,high,Resolved,Sanitation Dept,Recurring issue during monsoon.
2026-05-11,Riverside,Water Supply,No supply,low,Open,Water Board,Flagged by community volunteer.
2026-06-13,Riverside,Noise,Loud construction,critical,Escalated,Environment Cell,
2026-06-29,Riverside,Waste Collection,Overflowing bin,high,Open,Sanitation Dept,Flagged by community volunteer.
2026-07-03,Midtown,Water Supply,Low pressure,medium,Open,Water Board,
2026-06-28,Riverside,Sanitation,Blocked sewer,low,Open,Sanitation Dept,Recurring issue during monsoon.
2026-06-28,Green Valley,Noise,Late-night party,low,Open,Environment Cell,
2026-06-08,Oak Hill,Roads,Damaged signage,medium,Open,Public Works,
2026-06-28,Riverside,Waste Collection,Delayed collection,high,Resolved,Sanitation Dept,Affects a school zone nearby.
2026-06-04,Riverside,Roads,Pothole,critical,Resolved,Public Works,Resident reported repeatedly this month.
2026-06-14,Oak Hill,Sanitation,Blocked sewer,medium,In Progress,Sanitation Dept,Third complaint from the same street.
2026-05-17,North Gate,Waste Collection,Missed pickup,medium,Open,Sanitation Dept,Resident reported repeatedly this month.
2026-05-14,Riverside,Water Supply,Low pressure,medium,Open,Water Board,Resident reported repeatedly this month.
2026-06-10,Oak Hill,Sanitation,Blocked sewer,low,Open,Sanitation Dept,Flagged by community volunteer.
2026-06-27,Green Valley,Water Supply,No supply,high,Resolved,Water Board,
2026-05-20,Green Valley,Waste Collection,Overflowing bin,low,Open,Sanitation Dept,
2026-05-30,Riverside,Sanitation,Public toilet issue,critical,In Progress,Sanitation Dept,Resident reported repeatedly this month.
2026-06-20,Riverside,Public Health,Food safety,high,Open,Health Dept,Recurring issue during monsoon.
2026-06-11,Riverside,Roads,Pothole,low,Resolved,Public Works,
2026-06-29,Riverside,Roads,Damaged signage,critical,Resolved,Public Works,Photo evidence attached by citizen.
2026-06-19,Riverside,Public Health,Stray animals,low,Open,Health Dept,Flagged by community volunteer.
2026-07-03,Riverside,Sanitation,Public toilet issue,medium,Resolved,Sanitation Dept,Photo evidence attached by citizen.
2026-05-31,Oak Hill,Sanitation,Blocked sewer,low,Escalated,Sanitation Dept,Recurring issue during monsoon.
2026-07-01,Riverside,Waste Collection,Overflowing bin,high,Escalated,Sanitation Dept,Escalated after no response in 72 hours.
2026-05-24,Oak Hill,Roads,Blocked drain,medium,Open,Public Works,Recurring issue during monsoon.
2026-06-09,Old Town,Noise,Traffic noise,low,Resolved,Environment Cell,Reported via city helpline.
2026-05-18,Old Town,Waste Collection,Missed pickup,low,Open,Sanitation Dept,Escalated after no response in 72 hours.
2026-06-16,Riverside,Sanitation,Foul smell,medium,Open,Sanitation Dept,Third complaint from the same street.
2026-05-28,Midtown,Roads,Blocked drain,medium,In Progress,Public Works,
2026-06-28,Lakeside,Public Health,Food safety,medium,Resolved,Health Dept,Flagged by community volunteer.
2026-06-02,Riverside,Water Supply,Low pressure,high,Open,Water Board,Third complaint from the same street.
2026-05-16,Oak Hill,Water Supply,Low pressure,medium,Resolved,Water Board,Flagged by community volunteer.
2026-06-10,Old Town,Noise,Late-night party,medium,Resolved,Environment Cell,Recurring issue during monsoon.
2026-05-27,Riverside,Public Health,Food safety,medium,Open,Health Dept,Recurring issue during monsoon.
2026-05-16,Green Valley,Public Health,Open garbage,medium,In Progress,Health Dept,Reported via city helpline.
2026-07-04,Riverside,Waste Collection,Overflowing bin,high,In Progress,Sanitation Dept,Affects a school zone nearby.
2026-06-28,Old Town,Noise,Industrial noise,medium,Open,Environment Cell,Flagged by community volunteer.
2026-06-30,North Gate,Public Health,Mosquito breeding,medium,Resolved,Health Dept,Resident reported repeatedly this month.
2026-06-08,Midtown,Water Supply,Low pressure,medium,Resolved,Water Board,Reported via city helpline.
2026-06-29,Riverside,Waste Collection,Overflowing bin,high,Resolved,Sanitation Dept,Reported via city helpline.
2026-05-17,Riverside,Public Health,Food safety,medium,In Progress,Health Dept,
2026-05-16,Riverside,Waste Collection,Overflowing bin,medium,In Progress,Sanitation Dept,Photo evidence attached by citizen.
2026-06-12,Old Town,Waste Collection,Illegal dumping,high,In Progress,Sanitation Dept,Affects a school zone nearby.
